COD_AGEREV,Desc_lbl_fr,Desc_lbl_en,Desc_lbl_pt
015,15 ans,,
016,16 ans,,
017,17 ans,,
018,18 ans,,
019,19 ans,,
020,20 ans,,
021,21 ans,,
022,22 ans,,
023,23 ans,,
024,24 ans,,
025,25 ans,,
026,26 ans,,
027,27 ans,,
028,28 ans,,
029,29 ans,,
030,30 ans,,
031,31 ans,,
032,32 ans,,
033,33 ans,,
034,34 ans,,
035,35 ans,,
036,36 ans,,
037,37 ans,,
038,38 ans,,
039,39 ans,,
040,40 ans,,
041,41 ans,,
042,42 ans,,
043,43 ans,,
044,44 ans,,
045,45 ans,,
046,46 ans,,
047,47 ans,,
048,48 ans,,
049,49 ans,,
050,50 ans,,
051,51 ans,,
052,52 ans,,
053,53 ans,,
054,54 ans,,
055,55 ans,,
056,56 ans,,
057,57 ans,,
058,58 ans,,
059,59 ans,,
060,60 ans,,
061,61 ans,,
062,62 ans,,
063,63 ans,,
064,64 ans,,
065,65 ans,,
066,66 ans,,
067,67 ans,,
068,68 ans,,
069,69 ans,,
070,70 ans,,
071,71 ans,,
072,72 ans,,
073,73 ans,,
074,74 ans,,
075,75 ans,,
076,76 ans,,
077,77 ans,,
078,78 ans,,
079,79 ans,,
080,80 ans,,
081,81 ans,,
082,82 ans,,
083,83 ans,,
084,84 ans,,
085,85 ans,,
086,86 ans,,
087,87 ans,,
088,88 ans,,
089,89 ans,,
090,90 ans,,
091,91 ans,,
092,92 ans,,
093,93 ans,,
094,94 ans,,
095,95 ans,,
096,96 ans,,
097,97 ans,,
098,98 ans,,
099,99 ans,,
100,100 ans,,
101,101 ans,,
102,102 ans,,
103,103 ans,,
104,104 ans,,
105,105 ans,,
106,106 ans,,
107,107 ans,,
110,110 ans,,
111,111 ans,,
115,115 ans,,
