COD_ANAI,Desc_lbl_fr,Desc_lbl_en,Desc_lbl_pt
1900,Année  1900,,
1908,Année  1908,,
1910,Année  1910,,
1911,Année  1911,,
1913,Année  1913,,
1914,Année  1914,,
1916,Année  1916,,
1917,Année  1917,,
1918,Année  1918,,
1919,Année  1919,,
1920,Année  1920,,
1921,Année  1921,,
1922,Année  1922,,
1923,Année  1923,,
1924,Année  1924,,
1925,Année  1925,,
1926,Année  1926,,
1927,Année  1927,,
1928,Année  1928,,
1929,Année  1929,,
1930,Année  1930,,
1931,Année  1931,,
1932,Année  1932,,
1933,Année  1933,,
1934,Année  1934,,
1935,Année  1935,,
1936,Année  1936,,
1937,Année  1937,,
1938,Année  1938,,
1939,Année  1939,,
1940,Année  1940,,
1941,Année  1941,,
1942,Année  1942,,
1943,Année  1943,,
1944,Année  1944,,
1945,Année  1945,,
1946,Année  1946,,
1947,Année  1947,,
1948,Année  1948,,
1949,Année  1949,,
1950,Année  1950,,
1951,Année  1951,,
1952,Année  1952,,
1953,Année  1953,,
1954,Année  1954,,
1955,Année  1955,,
1956,Année  1956,,
1957,Année  1957,,
1958,Année  1958,,
1959,Année  1959,,
1960,Année  1960,,
1961,Année  1961,,
1962,Année  1962,,
1963,Année  1963,,
1964,Année  1964,,
1965,Année  1965,,
1966,Année  1966,,
1967,Année  1967,,
1968,Année  1968,,
1969,Année  1969,,
1970,Année  1970,,
1971,Année  1971,,
1972,Année  1972,,
1973,Année  1973,,
1974,Année  1974,,
1975,Année  1975,,
1976,Année  1976,,
1977,Année  1977,,
1978,Année  1978,,
1979,Année  1979,,
1980,Année  1980,,
1981,Année  1981,,
1982,Année  1982,,
1983,Année  1983,,
1984,Année  1984,,
1985,Année  1985,,
1986,Année  1986,,
1987,Année  1987,,
1988,Année  1988,,
1989,Année  1989,,
1990,Année  1990,,
1991,Année  1991,,
1992,Année  1992,,
1993,Année  1993,,
1994,Année  1994,,
1995,Année  1995,,
1996,Année  1996,,
1997,Année  1997,,
1998,Année  1998,,
1999,Année  1999,,
2000,Année  2000,,
2001,Année  2001,,
2002,Année  2002,,
2003,Année  2003,,
2004,Année  2004,,
2005,Année  2005,,
2006,Année 2006,,
2007,Année 2007,,
2008,Année 2008,,
2009,Année 2009,,
