COD_NA17,Desc_lbl_fr,Desc_lbl_en,Desc_lbl_pt
AZ,"Agriculture, sylviculture et pêche",,
C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac",,
C2,Cokéfaction et raffinage,,
C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines",,
C4,Fabrication de matériels de transport,,
C5,Fabrication d'autres produits industriels,,
DE,"Industries extractives, énergie, eau, gestion des déchets et dépollution",,
FZ,Construction,,
GZ,Commerce ; réparation d'automobiles et de motocycles,,
HZ,Transports et entreposage,,
IZ,Hébergement et restauration,,
JZ,Information et communication,,
KZ,Activités financières et d'assurance,,
LZ,Activités immobilières,,
MN,Activités scientifiques et techniques ; services administratifs et de soutien,,
OQ,"Administration publique, enseignement, santé humaine et action sociale",,
RU,Autres activités de services,,
