variable,variable_label_fr,code,label_fr,label_en,label_pt
AGED,Âge détaillé (en différence de millésimes),015,15 ans,,
AGED,Âge détaillé (en différence de millésimes),016,16 ans,,
AGED,Âge détaillé (en différence de millésimes),017,17 ans,,
AGED,Âge détaillé (en différence de millésimes),018,18 ans,,
AGED,Âge détaillé (en différence de millésimes),019,19 ans,,
AGED,Âge détaillé (en différence de millésimes),020,20 ans,,
AGED,Âge détaillé (en différence de millésimes),021,21 ans,,
AGED,Âge détaillé (en différence de millésimes),022,22 ans,,
AGED,Âge détaillé (en différence de millésimes),023,23 ans,,
AGED,Âge détaillé (en différence de millésimes),024,24 ans,,
AGED,Âge détaillé (en différence de millésimes),025,25 ans,,
AGED,Âge détaillé (en différence de millésimes),026,26 ans,,
AGED,Âge détaillé (en différence de millésimes),027,27 ans,,
AGED,Âge détaillé (en différence de millésimes),028,28 ans,,
AGED,Âge détaillé (en différence de millésimes),029,29 ans,,
AGED,Âge détaillé (en différence de millésimes),030,30 ans,,
AGED,Âge détaillé (en différence de millésimes),031,31 ans,,
AGED,Âge détaillé (en différence de millésimes),032,32 ans,,
AGED,Âge détaillé (en différence de millésimes),033,33 ans,,
AGED,Âge détaillé (en différence de millésimes),034,34 ans,,
AGED,Âge détaillé (en différence de millésimes),035,35 ans,,
AGED,Âge détaillé (en différence de millésimes),036,36 ans,,
AGED,Âge détaillé (en différence de millésimes),037,37 ans,,
AGED,Âge détaillé (en différence de millésimes),038,38 ans,,
AGED,Âge détaillé (en différence de millésimes),039,39 ans,,
AGED,Âge détaillé (en différence de millésimes),040,40 ans,,
AGED,Âge détaillé (en différence de millésimes),041,41 ans,,
AGED,Âge détaillé (en différence de millésimes),042,42 ans,,
AGED,Âge détaillé (en différence de millésimes),043,43 ans,,
AGED,Âge détaillé (en différence de millésimes),044,44 ans,,
AGED,Âge détaillé (en différence de millésimes),045,45 ans,,
AGED,Âge détaillé (en différence de millésimes),046,46 ans,,
AGED,Âge détaillé (en différence de millésimes),047,47 ans,,
AGED,Âge détaillé (en différence de millésimes),048,48 ans,,
AGED,Âge détaillé (en différence de millésimes),049,49 ans,,
AGED,Âge détaillé (en différence de millésimes),050,50 ans,,
AGED,Âge détaillé (en différence de millésimes),051,51 ans,,
AGED,Âge détaillé (en différence de millésimes),052,52 ans,,
AGED,Âge détaillé (en différence de millésimes),053,53 ans,,
AGED,Âge détaillé (en différence de millésimes),054,54 ans,,
AGED,Âge détaillé (en différence de millésimes),055,55 ans,,
AGED,Âge détaillé (en différence de millésimes),056,56 ans,,
AGED,Âge détaillé (en différence de millésimes),057,57 ans,,
AGED,Âge détaillé (en différence de millésimes),058,58 ans,,
AGED,Âge détaillé (en différence de millésimes),059,59 ans,,
AGED,Âge détaillé (en différence de millésimes),060,60 ans,,
AGED,Âge détaillé (en différence de millésimes),061,61 ans,,
AGED,Âge détaillé (en différence de millésimes),062,62 ans,,
AGED,Âge détaillé (en différence de millésimes),063,63 ans,,
AGED,Âge détaillé (en différence de millésimes),064,64 ans,,
AGED,Âge détaillé (en différence de millésimes),065,65 ans,,
AGED,Âge détaillé (en différence de millésimes),066,66 ans,,
AGED,Âge détaillé (en différence de millésimes),067,67 ans,,
AGED,Âge détaillé (en différence de millésimes),068,68 ans,,
AGED,Âge détaillé (en différence de millésimes),069,69 ans,,
AGED,Âge détaillé (en différence de millésimes),070,70 ans,,
AGED,Âge détaillé (en différence de millésimes),071,71 ans,,
AGED,Âge détaillé (en différence de millésimes),072,72 ans,,
AGED,Âge détaillé (en différence de millésimes),073,73 ans,,
AGED,Âge détaillé (en différence de millésimes),074,74 ans,,
AGED,Âge détaillé (en différence de millésimes),075,75 ans,,
AGED,Âge détaillé (en différence de millésimes),076,76 ans,,
AGED,Âge détaillé (en différence de millésimes),077,77 ans,,
AGED,Âge détaillé (en différence de millésimes),078,78 ans,,
AGED,Âge détaillé (en différence de millésimes),079,79 ans,,
AGED,Âge détaillé (en différence de millésimes),080,80 ans,,
AGED,Âge détaillé (en différence de millésimes),081,81 ans,,
AGED,Âge détaillé (en différence de millésimes),082,82 ans,,
AGED,Âge détaillé (en différence de millésimes),083,83 ans,,
AGED,Âge détaillé (en différence de millésimes),084,84 ans,,
AGED,Âge détaillé (en différence de millésimes),085,85 ans,,
AGED,Âge détaillé (en différence de millésimes),086,86 ans,,
AGED,Âge détaillé (en différence de millésimes),087,87 ans,,
AGED,Âge détaillé (en différence de millésimes),088,88 ans,,
AGED,Âge détaillé (en différence de millésimes),089,89 ans,,
AGED,Âge détaillé (en différence de millésimes),090,90 ans,,
AGED,Âge détaillé (en différence de millésimes),091,91 ans,,
AGED,Âge détaillé (en différence de millésimes),092,92 ans,,
AGED,Âge détaillé (en différence de millésimes),093,93 ans,,
AGED,Âge détaillé (en différence de millésimes),094,94 ans,,
AGED,Âge détaillé (en différence de millésimes),095,95 ans,,
AGED,Âge détaillé (en différence de millésimes),096,96 ans,,
AGED,Âge détaillé (en différence de millésimes),097,97 ans,,
AGED,Âge détaillé (en différence de millésimes),098,98 ans,,
AGED,Âge détaillé (en différence de millésimes),099,99 ans,,
AGED,Âge détaillé (en différence de millésimes),100,100 ans,,
AGED,Âge détaillé (en différence de millésimes),101,101 ans,,
AGED,Âge détaillé (en différence de millésimes),102,102 ans,,
AGED,Âge détaillé (en différence de millésimes),103,103 ans,,
AGED,Âge détaillé (en différence de millésimes),104,104 ans,,
AGED,Âge détaillé (en différence de millésimes),105,105 ans,,
AGED,Âge détaillé (en différence de millésimes),106,106 ans,,
AGED,Âge détaillé (en différence de millésimes),107,107 ans,,
AGED,Âge détaillé (en différence de millésimes),108,108 ans,,
AGED,Âge détaillé (en différence de millésimes),111,111 ans,,
AGED,Âge détaillé (en différence de millésimes),112,112 ans,,
AGED,Âge détaillé (en différence de millésimes),115,115 ans,,
AGEREV,Âge en années révolues détaillé,015,15 ans,,
AGEREV,Âge en années révolues détaillé,016,16 ans,,
AGEREV,Âge en années révolues détaillé,017,17 ans,,
AGEREV,Âge en années révolues détaillé,018,18 ans,,
AGEREV,Âge en années révolues détaillé,019,19 ans,,
AGEREV,Âge en années révolues détaillé,020,20 ans,,
AGEREV,Âge en années révolues détaillé,021,21 ans,,
AGEREV,Âge en années révolues détaillé,022,22 ans,,
AGEREV,Âge en années révolues détaillé,023,23 ans,,
AGEREV,Âge en années révolues détaillé,024,24 ans,,
AGEREV,Âge en années révolues détaillé,025,25 ans,,
AGEREV,Âge en années révolues détaillé,026,26 ans,,
AGEREV,Âge en années révolues détaillé,027,27 ans,,
AGEREV,Âge en années révolues détaillé,028,28 ans,,
AGEREV,Âge en années révolues détaillé,029,29 ans,,
AGEREV,Âge en années révolues détaillé,030,30 ans,,
AGEREV,Âge en années révolues détaillé,031,31 ans,,
AGEREV,Âge en années révolues détaillé,032,32 ans,,
AGEREV,Âge en années révolues détaillé,033,33 ans,,
AGEREV,Âge en années révolues détaillé,034,34 ans,,
AGEREV,Âge en années révolues détaillé,035,35 ans,,
AGEREV,Âge en années révolues détaillé,036,36 ans,,
AGEREV,Âge en années révolues détaillé,037,37 ans,,
AGEREV,Âge en années révolues détaillé,038,38 ans,,
AGEREV,Âge en années révolues détaillé,039,39 ans,,
AGEREV,Âge en années révolues détaillé,040,40 ans,,
AGEREV,Âge en années révolues détaillé,041,41 ans,,
AGEREV,Âge en années révolues détaillé,042,42 ans,,
