variable,variable_label_fr,code,label_fr,label_en,label_pt
AGED,Âge détaillé (en différence de millésimes),015,15 ans,15 years old,15 anos
AGED,Âge détaillé (en différence de millésimes),016,16 ans,16 years old,16 anos
AGED,Âge détaillé (en différence de millésimes),017,17 ans,17 years old,17 anos
AGED,Âge détaillé (en différence de millésimes),018,18 ans,18 years old,18 anos
AGED,Âge détaillé (en différence de millésimes),019,19 ans,19 years old,19 anos
AGED,Âge détaillé (en différence de millésimes),020,20 ans,20 years old,20 anos
AGED,Âge détaillé (en différence de millésimes),021,21 ans,21 years old,21 anos
AGED,Âge détaillé (en différence de millésimes),022,22 ans,22 years old,22 anos
AGED,Âge détaillé (en différence de millésimes),023,23 ans,23 years old,23 anos
AGED,Âge détaillé (en différence de millésimes),024,24 ans,24 years old,24 anos
AGED,Âge détaillé (en différence de millésimes),025,25 ans,25 years,25 anos
AGED,Âge détaillé (en différence de millésimes),026,26 ans,26 years old,26 anos
AGED,Âge détaillé (en différence de millésimes),027,27 ans,27 years old,27 anos
AGED,Âge détaillé (en différence de millésimes),028,28 ans,28 years old,28 anos
AGED,Âge détaillé (en différence de millésimes),029,29 ans,29 years old,29 anos
AGED,Âge détaillé (en différence de millésimes),030,30 ans,30 years,30 anos
AGED,Âge détaillé (en différence de millésimes),031,31 ans,31 years old,31 anos
AGED,Âge détaillé (en différence de millésimes),032,32 ans,32 years old,32 anos
AGED,Âge détaillé (en différence de millésimes),033,33 ans,33 years old,33 anos
AGED,Âge détaillé (en différence de millésimes),034,34 ans,34 years old,34 anos
AGED,Âge détaillé (en différence de millésimes),035,35 ans,35,35
AGED,Âge détaillé (en différence de millésimes),036,36 ans,36 years old,36 anos
AGED,Âge détaillé (en différence de millésimes),037,37 ans,37 years old,37 anos
AGED,Âge détaillé (en différence de millésimes),038,38 ans,38 years old,38 anos
AGED,Âge détaillé (en différence de millésimes),039,39 ans,39 years old,39 anos
AGED,Âge détaillé (en différence de millésimes),040,40 ans,40 years,40 anos
AGED,Âge détaillé (en différence de millésimes),041,41 ans,41 years old,41 anos
AGED,Âge détaillé (en différence de millésimes),042,42 ans,42 years old,42 anos
AGED,Âge détaillé (en différence de millésimes),043,43 ans,43 years,43 anos
AGED,Âge détaillé (en différence de millésimes),044,44 ans,44 years old,44 anos
AGED,Âge détaillé (en différence de millésimes),045,45 ans,45 years,45 anos
AGED,Âge détaillé (en différence de millésimes),046,46 ans,46 years,46 anos
AGED,Âge détaillé (en différence de millésimes),047,47 ans,47 years old,47 anos
AGED,Âge détaillé (en différence de millésimes),048,48 ans,48 years old,48 anos
AGED,Âge détaillé (en différence de millésimes),049,49 ans,49 years old,49 anos
AGED,Âge détaillé (en différence de millésimes),050,50 ans,50 years,50 anos
